#  Q(A^-1)        R           dR         dQ(A^-1)    
7.00060e-03  9.98871e-01  1.19409e-02  7.00060e-04  
7.26945e-03  1.00223e+00  1.19409e-02  7.26945e-04  
7.54080e-03  1.00719e+00  1.19409e-02  7.54080e-04  
7.81914e-03  9.99300e-01  1.19409e-02  7.81914e-04  
8.10936e-03  1.00691e+00  1.19409e-02  8.10936e-04  
8.36548e-03  1.00093e+00  1.19409e-02  8.36548e-04  
8.64443e-03  1.02543e+00  1.19409e-02  8.64443e-04  
8.93812e-03  9.89689e-01  1.19409e-02  8.93812e-04  
9.20871e-03  1.00293e+00  1.19409e-02  9.20871e-04  
9.48175e-03  9.89227e-01  1.19409e-02  9.48175e-04  
9.76824e-03  1.01459e+00  1.19409e-02  9.76824e-04  
1.00313e-02  9.86637e-01  1.19409e-02  1.00313e-03  
1.02950e-02  1.00673e+00  1.19409e-02  1.02950e-03  
1.05851e-02  1.01795e+00  1.19409e-02  1.05851e-03  
1.08567e-02  1.00550e+00  1.19409e-02  1.08567e-03  
1.11337e-02  9.98493e-01  1.19409e-02  1.11337e-03  
1.14105e-02  1.00271e+00  1.19409e-02  1.14105e-03  
1.16596e-02  9.92111e-01  1.19409e-02  1.16596e-03  
1.19304e-02  9.94554e-01  1.19409e-02  1.19304e-03  
1.22479e-02  9.85947e-01  1.19409e-02  1.22479e-03  
1.25180e-02  1.02506e+00  1.19409e-02  1.25180e-03  
1.28002e-02  1.01597e+00  1.19409e-02  1.28002e-03  
1.30706e-02  1.00550e+00  1.19409e-02  1.30706e-03  
1.33286e-02  9.62792e-01  1.19409e-02  1.33286e-03  
1.36105e-02  9.84338e-01  1.19409e-02  1.36105e-03  
1.38915e-02  1.01123e+00  1.19409e-02  1.38915e-03  
1.41491e-02  1.00557e+00  1.19408e-02  1.41491e-03  
1.44332e-02  1.00944e+00  1.19408e-02  1.44332e-03  
1.46855e-02  1.00064e+00  1.19408e-02  1.46855e-03  
1.50141e-02  1.00640e+00  1.19407e-02  1.50141e-03  
1.52856e-02  9.96276e-01  1.19404e-02  1.52856e-03  
1.55444e-02  9.99528e-01  1.19399e-02  1.55444e-03  
1.57884e-02  1.01636e+00  1.19387e-02  1.57884e-03  
1.60877e-02  1.00481e+00  1.19340e-02  1.60877e-03  
1.63689e-02  9.73265e-01  1.19204e-02  1.63689e-03  
1.66302e-02  9.84012e-01  1.18907e-02  1.66302e-03  
1.69111e-02  9.68694e-01  1.18230e-02  1.69111e-03  
1.71764e-02  9.62759e-01  1.17058e-02  1.71764e-03  
1.74650e-02  9.29931e-01  1.14922e-02  1.74650e-03  
1.77467e-02  8.88464e-01  1.11922e-02  1.77467e-03  
1.80241e-02  8.42950e-01  1.08216e-02  1.80241e-03  
1.82963e-02  7.71102e-01  1.04279e-02  1.82963e-03  
1.86069e-02  6.83707e-01  9.98486e-03  1.86069e-03  
1.88324e-02  6.50562e-01  9.68927e-03  1.88324e-03  
1.90924e-02  6.23351e-01  9.36873e-03  1.90924e-03  
1.94061e-02  5.67726e-01  8.99846e-03  1.94061e-03  
1.96598e-02  5.28712e-01  8.68758e-03  1.96598e-03  
1.99565e-02  4.74309e-01  8.29214e-03  1.99565e-03  
2.02383e-02  4.20883e-01  7.89204e-03  2.02383e-03  
2.05249e-02  3.93199e-01  7.49256e-03  2.05249e-03  
2.07316e-02  3.57257e-01  7.22045e-03  2.07316e-03  
2.10263e-02  3.32452e-01  6.89406e-03  2.10263e-03  
2.13325e-02  3.03245e-01  6.61829e-03  2.13325e-03  
2.15740e-02  3.01163e-01  6.44193e-03  2.15740e-03  
2.18848e-02  2.60188e-01  6.23146e-03  2.18848e-03  
2.21459e-02  2.65500e-01  6.05204e-03  2.21459e-03  
2.24060e-02  2.54940e-01  5.85670e-03  2.24060e-03  
2.27133e-02  2.21265e-01  5.59842e-03  2.27133e-03  
2.29433e-02  2.04708e-01  5.38703e-03  2.29433e-03  
2.31892e-02  1.69659e-01  5.14886e-03  2.31892e-03  
2.34859e-02  1.66735e-01  4.85718e-03  2.34859e-03  
2.38142e-02  1.44172e-01  4.54831e-03  2.38142e-03  
2.40874e-02  1.27706e-01  4.31203e-03  2.40874e-03  
2.42808e-02  1.16025e-01  4.16020e-03  2.42808e-03  
