experiment_id,num_layers,layer_position,layer_type,fronting_sld,fronting_roughness,backing_sld,backing_roughness,sld,thickness,roughness
s000000,2,1,deposited_layer,3.5e-06,8.72,6.45461e-06,0.0,1.14195e-05,242.09,24.16
s000000,2,2,deposited_layer,3.5e-06,8.72,6.45461e-06,0.0,9.79919e-06,959.62,75.06
s000001,0,0,substrate_interface,0.0,2.91,1.96229e-06,0.0,,,
s000002,0,0,substrate_interface,0.0,2.02,3.49399e-08,0.0,,,
s000003,2,1,deposited_layer,3.5e-06,5.73,1.61536e-06,0.0,1.18378e-05,81.46,13.63
s000003,2,2,deposited_layer,3.5e-06,5.73,1.61536e-06,0.0,7.88541e-06,72.0,4.19
s000004,1,1,deposited_layer,3.5e-06,8.04,9.79867e-06,0.0,3.56709e-06,28.63,7.04
s000005,0,0,substrate_interface,2.07e-06,9.28,7.90126e-07,0.0,,,
s000006,2,1,deposited_layer,4.32e-06,9.03,8.11673e-08,0.0,4.31473e-06,342.06,68.57
s000006,2,2,deposited_layer,4.32e-06,9.03,8.11673e-08,0.0,7.33286e-06,916.63,50.62
s000007,2,1,deposited_layer,0.0,7.6,8.94663e-07,0.0,3.81376e-06,590.12,122.09
s000007,2,2,deposited_layer,0.0,7.6,8.94663e-07,0.0,1.44937e-05,780.9,77.87
s000008,2,1,deposited_layer,4.32e-06,2.04,6.47867e-06,0.0,1.24877e-05,799.88,119.52
s000008,2,2,deposited_layer,4.32e-06,2.04,6.47867e-06,0.0,1.17712e-06,258.69,3.25
s000009,2,1,deposited_layer,4.32e-06,9.93,9.93832e-06,0.0,1.46201e-05,437.44,25.89
s000009,2,2,deposited_layer,4.32e-06,9.93,9.93832e-06,0.0,1.19091e-05,281.91,59.43
s000010,0,0,substrate_interface,3.5e-06,7.13,1.43401e-05,0.0,,,
s000011,0,0,substrate_interface,3.5e-06,1.65,1.14738e-05,0.0,,,
s000012,2,1,deposited_layer,0.0,6.83,7.00605e-06,0.0,1.36415e-05,255.01,17.54
s000012,2,2,deposited_layer,0.0,6.83,7.00605e-06,0.0,4.05616e-06,656.21,96.86
s000013,2,1,deposited_layer,2.07e-06,5.74,1.46368e-05,0.0,2.16577e-06,460.23,37.05
s000013,2,2,deposited_layer,2.07e-06,5.74,1.46368e-05,0.0,9.15247e-06,612.41,10.35
s000014,1,1,deposited_layer,3.5e-06,2.1,1.31003e-05,0.0,1.36241e-06,699.28,39.94
s000015,1,1,deposited_layer,3.5e-06,1.14,1.86594e-06,0.0,4.26861e-06,1301.97,272.39
s000016,2,1,deposited_layer,4.32e-06,9.31,2.96525e-06,0.0,7.42352e-06,151.98,4.82
s000016,2,2,deposited_layer,4.32e-06,9.31,2.96525e-06,0.0,1.25039e-05,330.47,77.85
s000017,1,1,deposited_layer,3.5e-06,4.81,1.16747e-05,0.0,1.15693e-05,424.23,89.14
s000018,2,1,deposited_layer,4.32e-06,7.58,8.2399e-06,0.0,-2.65993e-07,439.43,21.97
s000018,2,2,deposited_layer,4.32e-06,7.58,8.2399e-06,0.0,2.01529e-06,1037.24,39.74
s000019,0,0,substrate_interface,2.07e-06,4.52,1.49051e-05,0.0,,,
s000020,0,0,substrate_interface,2.07e-06,4.13,6.79669e-06,0.0,,,
s000021,1,1,deposited_layer,3.5e-06,6.78,1.04479e-05,0.0,2.33937e-06,190.78,12.78
s000022,1,1,deposited_layer,3.5e-06,6.14,1.36837e-05,0.0,1.06543e-05,1241.85,69.53
s000023,1,1,deposited_layer,3.5e-06,4.27,9.73974e-06,0.0,7.08628e-06,786.95,157.81
s000024,1,1,deposited_layer,2.07e-06,3.98,1.26185e-05,0.0,1.48154e-05,1083.87,170.38
